RANK,TEAM
1,Colgate
2,Toledo
3,Michigan St.
4,Utah St.
5,Xavier
6,Pacific
7,Sam Houston
8,UNC Asheville
9,South Dakota
10,Stetson
11,Penn St.
12,Belmont
13,Gonzaga
14,UMass Lowell
15,Detroit Mercy
16,SFA
17,Howard
18,Saint Francis (PA)
19,Fla. Atlantic
20,Arizona
21,New Orleans
22,Louisiana
23,Chattanooga
24,Indiana
25,Jacksonville St.
26,Liberty
27,Portland
28,Charlotte
-,Alabama A&M
30,UC Irvine
31,Winthrop
32,Drake
33,North Ala.
34,Ohio
35,Ball St.
36,Montana
37,Miami
38,Saint Mary's (CA)
39,Cal St. Fullerton
40,Navy
41,Grand Canyon
42,Santa Clara
43,Southeastern La.
44,Morgan St.
45,Oral Roberts
46,Clemson
47,A&M-Corpus Christi
48,Youngstown St.
49,Kennesaw St.
50,Baylor
51,Hofstra
52,Quinnipiac
-,William & Mary
54,North Florida
55,Towson
56,UAB
57,Colorado St.
58,Washington St.
59,Holy Cross
60,DePaul
-,Houston Christian
62,LMU (CA)
63,Western Ky.
64,Duquesne
65,Tennessee Tech
66,Wake Forest
67,Grambling
68,San Diego St.
69,Northern Ariz.
70,Missouri
71,Boise St.
72,Syracuse
73,Pepperdine
74,Virginia Tech
75,Pittsburgh
76,Bethune-Cookman
77,San Francisco
78,Northwestern St.
79,Vermont
80,Radford
81,Cincinnati
82,Eastern Wash.
83,Ohio St.
84,N.C. Central
85,Bradley
86,UCF
87,Virginia
88,New Mexico
89,Iona
90,Kentucky
91,Notre Dame
92,UC Riverside
93,Stanford
94,Northern Colo.
95,Creighton
96,Penn
97,Wright St.
98,Loyola Maryland
99,UConn
100,Air Force
101,Bucknell
102,Cornell
103,Lipscomb
104,Morehead St.
105,Rice
106,Providence
107,Yale
108,FGCU
109,Saint Louis
110,Indiana St.
111,George Mason
112,UNC Greensboro
113,Mount St. Mary's
114,St. Francis Brooklyn
115,Marquette
116,San Diego
117,Samford
118,Arkansas St.
119,West Virginia
120,Milwaukee
121,Houston
122,Longwood
123,NC State
124,South Dakota St.
125,VMI
126,Oklahoma
127,Lehigh
128,Army West Point
129,Akron
130,ULM
131,North Dakota
132,James Madison
133,Southern Utah
134,Northern Ky.
135,Wisconsin
136,Siena
137,Louisiana Tech
138,Tennessee St.
139,North Texas
140,Mississippi Val.
141,Wyoming
142,Dayton
143,NJIT
144,UCLA
145,NIU
146,UIW
147,UC Santa Barbara
148,Nevada
149,St. Bonaventure
150,Kansas
151,Canisius
152,Brown
153,UC Davis
154,Furman
155,American
156,FDU
157,Michigan
158,Norfolk St.
159,Purdue Fort Wayne
160,Iowa
161,South Alabama
162,Texas
-,Texas Tech
164,Kansas St.
165,Western Caro.
166,Sacramento St.
167,UNLV
168,Abilene Christian
169,La Salle
170,Memphis
171,Southern California
172,Charleston So.
173,Tulane
174,Niagara
175,New Hampshire
176,Princeton
177,USC Upstate
178,Nicholls
179,UMBC
180,Miami (OH)
181,UNI
182,Bowling Green
183,Bryant
184,Vanderbilt
185,Jacksonville
186,Idaho
187,Portland St.
188,BYU
189,Coppin St.
190,Middle Tenn.
191,Chicago St.
192,New Mexico St.
193,UTRGV
194,Omaha
195,Alabama
196,LIU
197,Marshall
198,Idaho St.
199,Eastern Ky.
200,South Fla.
