Rank,Team
1,Villanova
2,Illinois St.
3,Clemson
4,South Dakota St.
5,A&M-Corpus Christi
6,Nevada
7,Montana
8,Coastal Carolina
9,Tulane
10,Miami
-,Miami (OH)
12,Youngstown St.
13,Oakland
14,Oral Roberts
15,Omaha
16,Toledo
17,Stetson
18,UCF
19,Fresno St.
20,Indiana St.
21,Utah St.
22,Drake
23,Duke
24,Detroit Mercy
25,Eastern Mich.
26,Weber St.
27,VMI
28,San Diego
29,South Dakota
30,Michigan St.
31,Notre Dame
32,Texas A&M
33,CSU Bakersfield
34,Idaho
35,Creighton
36,Temple
37,Pittsburgh
38,UConn
39,Missouri
40,Montana St.
41,The Citadel
42,Eastern Wash.
43,Oregon St.
44,Wake Forest
45,Fordham
46,Jacksonville
47,Hawaii
48,San Francisco
49,Davidson
50,UMBC
51,Northwestern
52,Central Ark.
53,Texas
54,Syracuse
-,Washington
56,Kansas St.
57,UIW
58,Samford
59,Charlotte
60,Purdue
61,Lehigh
62,FDU
63,North Texas
64,Providence
65,Cal Poly
66,Baylor
67,Utah Valley
68,Portland
69,Northern Colo.
70,New Mexico
71,Richmond
72,Rhode Island
73,Stony Brook
74,Lipscomb
75,Southern California
76,Penn
77,West Virginia
78,North Carolina
79,Southeastern La.
80,CSUN
81,Colorado St.
82,Col. of Charleston
83,Memphis
84,Ohio St.
85,Louisville
86,Furman
87,Boise St.
88,FGCU
89,UMass Lowell
90,Norfolk St.
91,Winthrop
92,Butler
93,Boston U.
94,DePaul
95,Rice
96,George Washington
97,Siena
98,Wofford
99,Penn St.
100,Maryland
101,Hofstra
102,Wright St.
103,Iowa
104,Murray St.
105,Northern Ariz.
106,Virginia Tech
107,Rider
108,Idaho St.
109,Oklahoma
110,UTSA
111,Bryant
112,Saint Louis
113,Liberty
114,Mount St. Mary's
115,Canisius
116,Milwaukee
117,Southern Utah
118,San Diego St.
119,Louisiana Tech
120,Akron
121,Little Rock
122,Kent St.
123,UNCW
124,SIUE
125,Texas St.
126,UAB
127,Valparaiso
128,Chicago St.
129,Alabama
130,Cornell
131,Ark.-Pine Bluff
132,Portland St.
133,Delaware
-,Maine
135,Georgia
136,Charleston So.
137,Ohio
138,Florida St.
139,Belmont
140,Austin Peay
141,Bowling Green
142,UNLV
143,Boston College
144,Fairfield
145,Alcorn
146,Kansas
147,Iona
148,Southern Ill.
149,UC Santa Barbara
150,California
151,Abilene Christian
152,Texas Tech
153,Air Force
154,UAlbany
-,UC Irvine
156,Longwood
157,Houston
158,UT Martin
159,LSU
160,Grand Canyon
161,Robert Morris
162,Florida
163,Pacific
164,Niagara
165,Howard
166,Tennessee Tech
167,NC State
168,North Florida
169,Morehead St.
170,Houston Christian
171,Western Caro.
172,UCLA
173,Georgetown
174,Xavier
175,Coppin St.
176,Bucknell
177,BYU
178,Arizona
179,Denver
180,SFA
181,UMES
182,Massachusetts
183,UNC Greensboro
184,Southeast Mo. St.
185,Seattle U
186,Wichita St.
187,Western Ky.
188,Columbia
189,Indiana
190,Southern U.
191,Marquette
192,Western Mich.
193,Chattanooga
194,FIU
195,Binghamton
196,Washington St.
197,ULM
198,Georgia St.
199,Kansas City
200,Fla. Atlantic
