Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
1,Houston 1,Amer,31-3,28.82,118.4,89.6,63.3,0.025,4.21,107.3,103.1,0.63
2,UCLA 2,P12,29-5,27.63,114.9,87.2,66.3,-0.001,9.00,109.7,100.7,0.72
3,Alabama 1,SEC,29-5,27.54,116.1,88.6,72.7,0.074,11.66,110.9,99.2,10.56
4,Connecticut 4,BE,25-8,25.37,119.4,94.1,66.7,-0.061,8.51,109.1,100.6,-1.39
5,Tennessee 4,SEC,23-10,24.71,112.7,88.0,65.5,-0.071,8.77,109.5,100.7,3.16
6,Texas 2,B12,26-8,24.57,116.6,92.0,69.1,0.020,12.11,111.0,98.9,-0.66
7,Purdue 1,B10,29-5,24.55,119.4,94.8,64.4,0.032,9.84,110.4,100.6,0.95
8,Gonzaga 3,WCC,28-5,24.31,124.0,99.7,70.1,0.047,7.49,110.2,102.7,8.31
9,Kansas 1,B12,27-7,23.14,114.6,91.5,69.3,0.106,14.26,111.7,97.5,6.82
10,Arizona 2,P12,28-6,22.86,120.0,97.1,72.3,0.041,8.83,107.9,99.1,3.47
11,Saint Mary's 5,WCC,26-7,21.90,113.5,91.6,61.7,0.004,6.38,110.2,103.8,4.61
12,Marquette 2,BE,28-6,21.83,119.3,97.5,68.4,0.014,8.67,109.5,100.9,-1.14
13,Creighton 6,BE,21-12,20.65,114.6,94.0,68.0,-0.074,10.34,110.9,100.5,6.44
14,San Diego St. 5,MWC,27-6,20.25,111.9,91.7,66.0,0.047,8.96,110.4,101.4,7.47
15,Baylor 3,B12,22-10,19.98,121.9,101.9,66.6,0.032,12.93,110.8,97.9,1.92
16,Xavier 3,BE,25-9,19.69,119.3,99.6,70.4,-0.004,9.78,110.3,100.5,3.89
17,West Virginia 9,B12,19-14,19.14,117.1,98.0,68.9,-0.054,12.74,111.0,98.2,2.26
18,Utah St. 10,MWC,26-8,18.88,117.8,98.9,68.8,0.008,7.68,108.8,101.1,3.52
19,Memphis 8,Amer,26-8,18.69,114.7,96.0,71.8,-0.037,7.22,108.5,101.3,6.59
20,Arkansas 8,SEC,20-13,18.63,112.6,94.0,69.7,-0.072,9.90,109.9,100.0,3.73
21,Duke 5,ACC,26-8,18.49,113.2,94.8,65.3,0.059,6.78,109.8,103.0,2.07
22,Maryland 8,B10,21-12,18.37,114.1,95.8,64.6,-0.039,8.01,109.3,101.3,-3.92
23,Iowa St. 6,B12,19-13,18.33,109.9,91.6,64.3,-0.034,12.88,112.4,99.5,-1.29
24,Kansas St. 3,B12,23-9,18.31,112.5,94.2,70.2,0.036,10.40,109.3,98.9,-2.59
25,Texas A&M 7,SEC,25-9,18.28,114.5,96.2,66.2,0.042,7.83,108.8,100.9,-2.46
26,Florida Atlantic 9,CUSA,31-3,18.23,114.3,96.0,68.4,0.053,0.41,105.6,105.1,-2.52
27,TCU 6,B12,21-12,18.06,112.4,94.3,69.8,-0.034,10.70,109.8,99.1,-7.05
28,Kentucky 6,SEC,21-11,17.80,117.4,99.6,66.0,-0.014,8.65,109.4,100.7,0.80
29,Auburn 9,SEC,20-12,17.45,112.7,95.2,67.6,-0.029,9.73,109.5,99.7,3.89
